idx	who	jp	ko	note
0	알버트	「みんな、かたきはうったぞ...」\n\n\nこんかいのたたかいで、そのちからをひょうかされ、\n\nバルティアきしだんたいちょうににんめいされる。\n\n	「모두의 원수는 갚았다。。。」\n\n\n이번 싸움에서 그 힘을 인정받아,\n\n발티아 기사단 단장에 임명된다。\n\n	줄당 25칸 이하. 줄바꿈 개수는 원본과 같게 (대사 뒤 3개, 줄 사이 2개)
1	제시카	「しろが、しろがくずれていく...」\n\n\nおうこくまどうしとしてバルティアにとどまり、\n\nまどうしょのかいどくにつとめる。\n\n	「성이, 성이 무너져 간다。。。」\n\n\n왕국 마도사로서 발티아에 남아,\n\n마도서 해독에 힘쓴다。\n\n
2	소온	「ついにやったぞ!」\n\n\nなにをおもったのか、とつぜんたびにでてしまう。\n\n	「드디어 해냈다!」\n\n\n무슨 생각인지, 홀연히 여행을 떠나 버린다。\n\n
3	호킹	「イルザックよ、みているか...」\n\n\nサルラスへもどり、かぞくとともにへいわにくらして\n\nいる。\n\n	「일자크여, 보고 있는가。。。」\n\n\n사르라스로 돌아가 가족과 함께\n\n평화롭게 살아간다。\n\n
4	테일러	「おうじ、ついにおわりましたな...」\n\n\nイルザックなきいま、おうこくをはなれ、かいぞくと\n\nなりうみへかえる。\n\n	「왕자님, 드디어 끝났군요。。。」\n\n\n일자크가 없는 지금 왕국을 떠나,\n\n해적이 되어 바다로 돌아간다。\n\n
5	나암	「ながいたたかいだったわ...」\n\n\nけんのみちをきわめるべく、おうこくをはなれ、\n\nしゅぎょうへとたびだつ。\n\n	「긴 싸움이었어。。。」\n\n\n검의 길을 끝까지 걷고자 왕국을 떠나,\n\n수행길에 오른다。\n\n
6	크리스	「..カオスのいったことはほんとうだったのかしら?」\n\n\nついにレディンとけっこんし、バルティアの おうひと\n\nして、つねに レディンとともにある。\n\n	「。。카오스가 한 말은 정말이었을까?」\n\n\n드디어 레딘과 결혼해 발티아의 왕비로서,\n\n언제나 레딘과 함께한다。\n\n
7	랜스	たたかいののち、ついにしたいははっけんされず、\n\nゆくえふめいである。\n\n	싸움이 끝난 뒤 끝내 시신은 발견되지 않아,\n\n행방불명이다。\n\n
8	레딘	「ちちうえ... ヴォルコフ...」\n\n\nバルティアにもどったのち、こくおうとしてそくいし、\n\nラングリッサ-をふたたびふういんし、たたかいのな\n\nいせかいのために、たいりくとういつにのりだす。\n\n	「아버님。。。 볼코프。。。」\n\n\n발티아로 돌아간 뒤 국왕으로 즉위해,\n\n랑그릿사를 다시 봉인하고 싸움 없는\n\n세계를 위해 대륙 통일에 나선다。\n\n
9	카오스	「おろかなにんげんどもよ、おぼえておくがいい...\n\nきさまらがたたかいつづけるかぎり、わたしはかならず\n\nよみがえる... かならず...」\n\n	「어리석은 인간들이여, 기억해 두어라。。。\n\n너희가 싸움을 계속하는 한 나는 반드시\n\n되살아난다。。。 반드시。。。」\n\n
10	(공용)	ゆくえふめいである。\n\n	행방불명이다。\n\n	죽은 지휘관용 공용 문구
