jp	ko	cells	note
レディン	레딘	2	모바일 한국 서버 공식 표기
ラングリッサー	랑그릿사	4	시리즈 공식 표기
ダルシス	다르시스	4	한국어 문서 "다르시스 제국"
ディゴス	디고스	3	
バルティア	발티아	3	한국어 자료에 발티아/발디아 혼용. 영문도 원작 Baltia -> 후속 Baldea/Baldia 로 흔들림. 원작 원문 バルティア 를 따라 발티아 채택
サルラス	사르라스	4	미확인 — 등장 시 재확인 필요
ヴォルコフ	볼코프	3	미확인
ジェシカ	제시카	3	미확인
クリス	크리스	3	미확인
ランス	랜스	2	흑기사. 스테이지 5 보스
ゼルド	젤드	2	발티아 점령군 사령관
アンゼル	안젤	2	요새 이름
アルバート	알버트	3	스테이지 7 구출 대상
ベルヌーイ	베르누이	4	스테이지 7 적 리더
ワース	워스	2	강 이름
ヴァルク	발크	2	다르시스 최후의 요새
ツイン・キャッスル	트윈 캐슬	5	다르시스 성 내부
アルンスト	아룬스트	4	협곡 이름
ヴェルゼリア	벨젤리아	4	최종 무대
ナーギャ	나갸	2	스테이지 18 적 리더
ニコリス	니코리스	4	스테이지 19 적 리더
カオス	카오스	3	최종 보스
カ・イロウ	카・이로우	5	스테이지 3 도적 리더
ホーキング	호킹	2	사르라스의 레딘 부친 친우
