idx	jp	ko
0	レディン	레딘
1	ヴォルコフ	볼코프
2	ジェシカ	제시카
3	クリス	크리스
4	ナーム	나암
5	テイラー	테일러
6	ソーン	소온
7	アルバート	알버트
8	ホーキング	호킹
9	ランス	랜스
10	シサイ	시사이
11	ヘイシ	병사
12	ヘイシ	병사
13	イルザック	일자크
14	イフリート	이프리트
15	シキカン1	지휘관1
16	シキカン2	지휘관2
17	シキカン3	지휘관3
18	ベルヌーイ	베르누이
19	シキカン1	지휘관1
20	シキカン2	지휘관2
21	シキカン3	지휘관3
22	シキカン4	지휘관4
23	シキカン	지휘관
24	シレイカン	사령관
25	シレイカン	사령관
26	ゼルド	젤드
27	ディゴス	디고스
28	シキカン1	지휘관1
29	シキカン2	지휘관2
30	シキカン3	지휘관3
31	シキカン4	지휘관4
32	シキカン5	지휘관5
33	シキカン6	지휘관6
34	シキカン7	지휘관7
35	シキカン8	지휘관8
36	シレイカン	사령관
37	ランス	랜스
38	シンエイタイ	친위대
39	シキカン1	지휘관1
40	シキカン2	지휘관2
41	シキカン3	지휘관3
42	シキカン4	지휘관4
43	シキカン5	지휘관5
44	シキカン6	지휘관6
45	シキカン7	지휘관7
46	シキカン8	지휘관8
47	シキカン1	지휘관1
48	シキカン2	지휘관2
49	シキカン3	지휘관3
50	シキカン4	지휘관4
51	シキカン5	지휘관5
52	シキカン6	지휘관6
53	シキカン7	지휘관7
54	シキカン8	지휘관8
55	マジュツシ	마술사
56	マドウシ	마도사
57	ソウジョウ	승정
58	ヘイシ	병사
59	ヘイシ	병사
60	マドウシ	마도사
61	ナーギャ	나가
62	ニコリス	니코리스
63	シンエイタイ	친위대
64	ボーゼル	보젤
65	モンスター	몬스터
66	モンスター	몬스터
67	カオス	카오스
68	モンスター	몬스터
69	モンスター	몬스터
70	モンスター	몬스터
71	モンスター	몬스터
72	モンスター	몬스터
73	モンスター	몬스터
74	マドウシ	마도사
75	カ・イロウ	카이로우
76	セキバン	석판
77		
